subject,diet,age,timepoint,sex,cohort,exclude,months_old,dose_01,dose_02,dose_03,dose_04,dose_05,dose_06,mean_day_01,mean_day_02
3,EtOH,Aged,T0,Male,OLD2A,N,,0,1,2,4,4,2,2.166666667,3.333333333
4,EtOH,Aged,T0,Male,OLD2A,N,,0,3,3,2,3,3,2.333333333,2.666666667
9,EtOH,Aged,T0,Male,OLD2A,N,,0,3,2,3,3,3,2.333333333,3
10,EtOH,Aged,T0,Male,OLD2A,died,,0,4,2,2,,,2,2
13,EtOH,Aged,T0,Male,OLD2A,N,,0,4,4,3,2,4,2.833333333,3
14,EtOH,Aged,T0,Male,OLD2A,N,,0,3,1,3,3,1,1.833333333,2.333333333
43,EtOH,Aged,T0,Male,OLD2B,N,,0,4,3,4,4,2,2.833333333,3.333333333
45,EtOH,Aged,T0,Male,OLD2B,N,,0,3,2,5,4,4,3,4.333333333
46,EtOH,Aged,T0,Male,OLD2B,N,,0,3,2,4,3,2,,
5,EtOH,Aged,T2,Male,OLD2A,N,,0,3,3,3,3,3,2.5,3
6,EtOH,Aged,T2,Male,OLD2A,N,,0,2,2,2,3,2,1.833333333,2.333333333
11,EtOH,Aged,T2,Male,OLD2A,N,,0,3,3,2,3,3,2.333333333,2.666666667
12,EtOH,Aged,T2,Male,OLD2A,died,,0,3,2,4,3,1,2.166666667,2.666666667
37,EtOH,Aged,T2,Male,OLD2B,N,,0,3,2,3,3,3,2.333333333,3
38,EtOH,Aged,T2,Male,OLD2B,N,,0,3,1,4,4,3,2.5,3.666666667
41,EtOH,Aged,T2,Male,OLD2B,N,,0,3,2,3,3,2,2.166666667,2.666666667
42,EtOH,Aged,T2,Male,OLD2B,N,,0,4,2,3,3,2,2.333333333,2.666666667
44,EtOH,Aged,T2,Male,OLD2B,died,,0,3,0,,,,1,
1,EtOH,Aged,T7,Male,OLD2A,N,,0,3,3,3,3,3,2.5,3
2,EtOH,Aged,T7,Male,OLD2A,N,,0,3,3,3,3,2,2.333333333,2.666666667
7,EtOH,Aged,T7,Male,OLD2A,N,,0,3,2,3,3,3,2.333333333,3
8,EtOH,Aged,T7,Male,OLD2A,N,,0,3,3,3,2,2,2.166666667,2.333333333
39,EtOH,Aged,T7,Male,OLD2B,N,,0,4,2,4,3,2,2.5,3
40,EtOH,Aged,T7,Male,OLD2B,N,,0,2,2,3,4,4,2.5,3.666666667
47,EtOH,Aged,T7,Male,OLD2B,N,,0,4,1,4,3,3,,
48,EtOH,Aged,T7,Male,OLD2B,N,,0,4,2,3,2,2,,
23,EtOH,Adult,T0,Male,OLD2A,N,,0,1,4,3,3,3,1.666666667,3
24,EtOH,Adult,T0,Male,OLD2A,N,,0,3,3,2,4,2,2,2.666666667
27,EtOH,Adult,T0,Male,OLD2A,N,,0,3,2,4,4,3,1.666666667,3.666666667
28,EtOH,Adult,T0,Male,OLD2A,N,,0,2,1,3,3,3,2,3
51,EtOH,Adult,T0,Male,OLD2B,N,,0,1,3,4,4,4,,
52,EtOH,Adult,T0,Male,OLD2B,N,,0,1,3,4,4,4,,
21,EtOH,Adult,T2,Male,OLD2A,N,,0,1,2,3,3,3,1,3
22,EtOH,Adult,T2,Male,OLD2A,N,,0,1,2,3,4,4,1,3.666666667
29,EtOH,Adult,T2,Male,OLD2A,bec,,0,1,2,3,4,4,2.333333333,3.666666667
30,EtOH,Adult,T2,Male,OLD2A,N,,0,3,2,3,3,3,2.333333333,3
53,EtOH,Adult,T2,Male,OLD2B,N,,0,1,1,3,3,4,,
54,EtOH,Adult,T2,Male,OLD2B,N,,0,2,3,3,3,3,,
25,EtOH,Adult,T7,Male,OLD2A,N,,0,3,2,3,3,2,1.666666667,2.666666667
26,EtOH,Adult,T7,Male,OLD2A,N,,0,3,3,4,3,3,2,3.333333333
31,EtOH,Adult,T7,Male,OLD2A,N,,0,1,3,3,3,4,2.333333333,3.333333333
32,EtOH,Adult,T7,Male,OLD2A,bec,,0,3,1,3,3,4,2.333333333,3.333333333
55,EtOH,Adult,T7,Male,OLD2B,N,,0,1,4,4,3,1,,
56,EtOH,Adult,T7,Male,OLD2B,N,,0,1,3,3,1,2,,
5,EtOH,Adult,T14,Male,OLD3A,died,7,0,0,2,2,,,0.666666667,
6,EtOH,Adult,T14,Male,OLD3A,bec,7,0,1,4,4,3,4,1.666666667,3.666666667
13,EtOH,Adult,T14,Male,OLD3A,N,3,0,1,3,3,4,3,1.333333333,3.333333333
14,EtOH,Adult,T14,Male,OLD3A,N,3,0,1,2,4,4,3,1,3.666666667
19,EtOH,Adult,T14,Male,OLD3A,bec,3,0,1,2,4,4,2,1,3.333333333
20,EtOH,Adult,T14,Male,OLD3A,N,3,0,0,4,4,4,2,1.333333333,3.333333333
25,EtOH,Aged,T14,Male,OLD3A,died,24,0,3,1,3,4,3,1.5,3.333333333
26,EtOH,Aged,T14,Male,OLD3A,N,24,0,3,2,3,3,3,1.5,3
37,EtOH,Aged,T14,Male,OLD3A,died,25,0,3,2,3,3,1,1.5,2.333333333
38,EtOH,Aged,T14,Male,OLD3A,died,25,0,3,3,4,4,4,1.5,4
43,EtOH,Aged,T14,Male,OLD3A,N,25,0,3,3,4,3,2,1.5,3
44,EtOH,Aged,T14,Male,OLD3A,died,25,0,3,4,,,,1.5,
7,EtOH,Adult,T14,Male,OLD3B,N,7,0,2,2,3,3,3,1.333333333,3
8,EtOH,Adult,T14,Male,OLD3B,N,7,0,1,2,4,4,2,1,3.333333333
15,EtOH,Adult,T14,Male,OLD3B,N,3,0,2,2,4,3,2,1.333333333,3
16,EtOH,Adult,T14,Male,OLD3B,N,3,0,2,1,4,3,3,1,3.333333333
23,EtOH,Aged,T14,Male,OLD3B,died,24,0,3,2,,,,1.666666667,
24,EtOH,Aged,T14,Male,OLD3B,N,24,0,3,1,4,3,2,1.333333333,3
27,EtOH,Aged,T14,Male,OLD3B,N,24,0,2,1,4,2,2,1,2.666666667
28,EtOH,Aged,T14,Male,OLD3B,N,24,0,3,3,1,3,2,2,2
31,EtOH,Aged,T14,Male,OLD3B,died,25,0,,,,,,0,
32,EtOH,Aged,T14,Male,OLD3B,N,25,0,4,4,1,4,3,2.666666667,2.666666667
35,EtOH,Aged,T14,Male,OLD3B,N,25,0,4,3,4,2,3,2.333333333,3
36,EtOH,Aged,T14,Male,OLD3B,N,25,0,4,1,4,3,2,1.666666667,3
