contrast,age,estimate,SE,df,t.ratio,p.value
T0 - T14,Adult,-0.6190476190476192,0.42105723187372457,59,-1.4702220320330992,0.5855523824689228
T0 - T2,Adult,-0.7333333333333332,0.45827885067623636,59,-1.6001902166142434,0.5032455595263388
T0 - T28,Adult,-0.8333333333333333,0.40873092599921207,59,-2.038831124158537,0.2607002800481799
T0 - T7,Adult,-0.7333333333333332,0.45827885067623636,59,-1.6001902166142434,0.5032455595263388
T14 - T2,Adult,-0.11428571428571394,0.4431499461624834,59,-0.25789400467130025,0.9989975081181788
T14 - T28,Adult,-0.21428571428571405,0.3916929150174318,59,-0.5470757985912957,0.981886109086691
T14 - T7,Adult,-0.11428571428571395,0.4431499461624833,59,-0.2578940046713003,0.9989975081181788
T2 - T28,Adult,-0.10000000000000009,0.43145527246612914,59,-0.23177373503495768,0.9993418503178442
T2 - T7,Adult,1.1102230246251565e-16,0.4786566485987431,59,2.319455977213124e-16,1
T28 - T7,Adult,0.1000000000000002,0.43145527246612914,59,0.23177373503495793,0.9993418503178442
T0 - T14,Aged,-0.2250000000000001,0.3589924864490571,59,-0.6267540644807583,0.9701711289431214
T0 - T2,Aged,-0.517857142857143,0.39169291501743186,59,-1.322099846595633,0.67870535911227
T0 - T28,Aged,-0.8749999999999998,0.431455272466129,59,-2.028020181555878,0.26565191568927005
T0 - T7,Aged,-0.24999999999999847,0.3784113066887177,59,-0.6606567921757402,0.9639356461036652
T14 - T2,Aged,-0.292857142857143,0.37296625580857407,59,-0.7852108288516393,0.9339175393919301
T14 - T28,Aged,-0.6499999999999997,0.41452881737683256,59,-1.5680453873225155,0.5234494497420089
T14 - T7,Aged,-0.0249999999999983,0.35899248644905724,59,-0.06963934049785725,0.9999945041811625
T2 - T28,Aged,-0.3571428571428567,0.4431499461624833,59,-0.8059187645978149,0.9277894668770639
T2 - T7,Aged,0.2678571428571448,0.39169291501743186,59,0.6838447482391253,0.9592106331198093
T28 - T7,Aged,0.6250000000000014,0.43145527246612914,59,1.4485858439684876,0.5993139747132135
