contrast,age,estimate,SE,df,t.ratio,p.value
T0 - T14,Adult,0.20634920634920606,0.14916105014167047,59,1.3833987234148546,0.6405523112751671
T0 - T2,Adult,0.24444444444444402,0.16234694347937392,59,1.505691694623746,0.5629793543407026
T0 - T28,Adult,0.277777777777777,0.1447944116198053,59,1.918428858339875,0.3191614432483826
T0 - T7,Adult,0.24444444444444413,0.16234694347937392,59,1.5056916946237466,0.5629793543407023
T14 - T2,Adult,0.038095238095237946,0.156987474234012,59,0.24266418885402039,0.9992111790003587
T14 - T28,Adult,0.07142857142857095,0.13875863449027287,59,0.514768480469431,0.9855624482831613
T14 - T7,Adult,0.03809523809523806,0.156987474234012,59,0.2426641888540211,0.9992111790003587
T2 - T28,Adult,0.03333333333333301,0.15284459370005285,59,0.218086440131127,0.9994825022456852
T2 - T7,Adult,1.249000902703301e-16,0.1695658522347695,59,7.365875182073914e-16,1
T28 - T7,Adult,-0.03333333333333287,0.15284459370005288,59,-0.21808644013112605,0.9994825022456854
T0 - T14,Aged,0.09166666666666684,0.12717438917607704,59,0.7207950221781791,0.950880179636028
T0 - T2,Aged,0.17261904761904773,0.13875863449027287,59,1.2440238278011342,0.725800027600871
T0 - T28,Aged,0.2916666666666664,0.15284459370005285,59,1.9082563511473782,0.324425352398938
T0 - T7,Aged,0.08333333333333247,0.13405357661235598,59,0.6216419989621632,0.9710439365102789
T14 - T2,Aged,0.0809523809523809,0.13212464760728276,59,0.6126970434237039,0.972529654914241
T14 - T28,Aged,0.19999999999999957,0.14684833564966865,59,1.361949382096731,0.6539923027444459
T14 - T7,Aged,-0.008333333333334372,0.12717438917607712,59,-0.06552682019802429,0.9999956906632959
T2 - T28,Aged,0.11904761904761867,0.156987474234012,59,0.7583255901688143,0.9413807635264971
T2 - T7,Aged,-0.08928571428571526,0.13875863449027287,59,-0.6434606005868001,0.9671965410287986
T28 - T7,Aged,-0.20833333333333393,0.15284459370005288,59,-1.3630402508195607,0.6533108480884454
